,icao24,typecode
1259,151e23,B738
1260,151e24,B738
1261,151e25,B738
1262,151e28,B738
1263,151e29,B738
1264,151e2a,B738
1265,151e2c,B738
1266,151e2d,B738
1267,151e2e,B737
1268,151e2f,B737
1269,151e30,B738
1270,151e31,B738
1271,151e32,B738
1272,151e33,B737
1273,151e34,B737
1274,151e35,B738
1275,151e38,B772
1276,151e3a,B77W
1277,151e3b,B77W
1278,151e3c,B77W
1279,151e3d,B77W
1280,151e3e,B77W
1281,151e43,B744
1282,151e44,B744
1283,151e45,B744
1284,151e46,B744
1285,151e47,B744
1286,151e48,B744
1287,151e49,B744
1288,151e4a,B744
1289,151e4d,B738
1290,151e4e,B738
1291,151e4f,B738
1292,151e50,B738
1293,151e51,B738
1294,151e52,B738
1295,151e53,B738
1296,151e54,B738
1297,151e55,B738
1298,151e56,B738
1299,151e57,B738
1300,151e58,B738
1301,151e59,B738
1302,151e5a,B738
1303,151e5b,B738
1304,151e5c,B738
1305,151e5d,B738
1306,151e5f,B738
1307,151e60,B738
1308,151e61,B738
1309,151e62,B738
1310,151e63,B738
1311,151e64,B738
1312,151e65,B738
1313,151e66,B738
1314,151e68,A320
1315,151e69,B738
1316,151e71,B772
1317,151e72,B772
1318,151e73,B772
1319,151e7c,B772
1320,151e7d,B772
1321,151e7e,B77W
1322,151e7f,B739
1323,151e80,B739
1324,151e83,B772
1325,151e8e,B738
1326,151e8f,B738
1327,151e90,B738
1328,151eb9,A320
1329,151eba,A320
1330,151ebb,A320
1331,151ebc,A320
1332,151ebd,A320
1333,151ebe,A320
1334,151ebf,A320
1335,151ec0,B738
1336,151ec1,B738
1337,151ec2,B738
1338,151ec3,B738
1339,151ec4,B738
1340,151ecb,A320
1341,151ecc,A320
1342,151ecd,A320
1343,151ece,A320
1344,151ecf,A320
1345,151ed0,A320
1346,151ee7,B738
1347,151eef,B737
1348,151efb,B738
1349,151efc,B738
1350,151efd,B77W
1351,151f03,B738
1352,151f05,B737
1353,151f0c,B739
1354,151f0d,B739
1355,151f0e,B738
1356,151f11,B738
1357,151f15,B738
1358,151f16,B738
1359,151f17,B738
1360,151f18,B738
1361,151f19,B738
1362,151f1a,B738
1363,151fb3,B737
1364,151fb4,B737
1365,151fb5,B738
1366,151fb6,B738
1367,151fb7,B738
1368,151fb8,B738
1369,151fb9,B738
1370,151fba,B738
1371,151fbb,B738
1372,151fbc,B738
1373,151fbd,B738
1374,151fc0,B738
1375,151fc1,B738
1376,151fc3,B738
1377,151fc4,B738
1378,151fc5,B738
1379,151fc6,B738
1380,151fc7,B738
1381,151fc8,B738
1382,151fd4,A333
1383,151fd5,A333
1384,151fd6,A333
1385,151fda,A320
